TYPE;CODE_INSEE;CODE_ORIG;NUM;NOM_ETABLISSEMENT;NUMÉRO_ET_LIBELLÉ_VOIE;LIEU_DIT;CODE_POSTAL;LIGNE_D_ACHEMINEMENT;PAYS_OU_DÉNOMINATION_TOM_COM;COORDONNÉES_X;COORDONNÉES_Y;NU_TEL;ADRESSE_MAIL
TE;10387;1;2187;Tribunal pour Enfants de Troyes;83 RUE DU GENERAL DE GAULLE;;10000;TROYES;;4.069397;48.297172;0325435570;
TGI;10387;1;53;Tribunal judiciaire de Troyes;83 RUE DU GENERAL DE GAULLE;;10000;TROYES;;4.069397;48.297172;0325435570;tj-troyes@justice.fr
CASS;10387;9;2235;Cour d'Assises de l'Aube;83 RUE DU GENERAL DE GAULLE;;10000;TROYES;;4.069397;48.297172;0325435570;
CCD;10387;9;67388;Cour Criminelle Départementale de l'Aube;83 RUE DU GENERAL DE GAULLE;;10000;TROYES;;4.069397;48.297172;03 25 43 55 70;
CDAD;10387;9;59038;Conseil départemental d'accès au droit de l'Aube;85 RUE DU GENERAL DE GAULLE;;10000;TROYES;;4.069168;48.297127;0325831890;cdad-aube@justice.fr
CPH;10387;1;964;Conseil de Prud'hommes de Troyes;1 RUE BEGAND;;10000;TROYES;;4.065073;48.294811;0325831729;cph-troyes@justice.fr
TBRTJ;10387;9;63614;Tribunal Paritaire des Baux Ruraux de Troyes;IMPASSE JEAN SIMON;;10000;TROYES;;4.069278;48.296156;0325435610;
TCO;10387;1;244;Tribunal de Commerce de Troyes;134 AVENUE DU GENERAL DE GAULLE;;10000;TROYES;;4.069646;48.29736;0891011111;
TE;11069;1;2196;Tribunal pour Enfants de Carcassonne;28 BOULEVARD JEAN-JAURES;;11000;CARCASSONNE;;2.354735;43.214898;0468257545;
TGI;11069;1;54;Tribunal judiciaire de Carcassonne;28 BOULEVARD JEAN-JAURES;;11000;CARCASSONNE;;2.354735;43.214898;0434424900;Accueil-Carcassonne@justice.fr
CASS;11069;9;17766;Cour d'Assises de l'Aude;28 BOULEVARD JEAN-JAURES;;11000;CARCASSONNE;;2.354735;43.214898;0468103737;
